text,label
"Agriculture needs changes to help save climate and farmers, says national agriculture group | CBC News https://t.co/wxNyIiaeQz",Favor
"#Cop21Napoli: happening now side event on #climatechange

Climate Action in the Mediterranean: discussing the water-food-energy nexus in a changing environment https://t.co/CiurIFH7gp",Favor
"RT paulnewnham: #FFXAbuDhabi has started!

Chefs from #India, #Kenya, #Turkey &amp; #US are in Abu Dhabi this week to highlight UAE’s biodiverse #ingredients helping tackle climate change!🇵🇸#2020for2020 #ChefsManifesto https://t.co/uOO19NJMmF",Favor
"@fitzhunter We need a national plan for combating climate change.
Coal and fossil fuels have reached their use by date.
Coral reefs are dying due to warming oceans.
Politicians must join us or get out of the way.
We are entering a new economic system based on renewables
Capitalism is dying.",Favor
"In the speech, delivered by Gov. Gen. Julie Payette in the Senate, the governing Liberals hit familiar notes about the urgency of fighting climate change, supporting the country’s “middle class” and pursuing reconciliation with Indigenous peoples #cdnpoli https://t.co/zNPhXLDvLE",Favor
"@DrJimFox26 First day of summer here in South Australia and it is raining-go figure. We are supposedly the dry state in the driest continent on the planet. 🤷🏻‍♂️ 
-
#ClimateChange #SouthAustralia",Favor
I’m more concerned about him buying a $15 million place that’s supposed to be under water in 11 more years or have they been lying about climate change https://t.co/5qEeiW1AG9,Favor
"After Time named Greta Thunberg “Person of the Year,” Trump mocks 16-year-old climate activist Thunberg: 'Chill Greta, Chill' Even Trump supporters have to realize that to openly mock her anger about climate change, and to diss her for a magazine title is beyond petty. © Fatherly https://t.co/bRXqJtvA2R",Favor
"@OxonAndrew Yes I agree. I’ve got family in Zimbabwe the latest drought, weather or climate change not sure yet, but it’s not good, major problems. Some countries heading towards no rain and others swamped by it and rising sea levels. I don’t understand why adults (a loose term) pick on her.",Favor
"👏 Important message from IMF's @KGeorgieva. “When people say we should be sticking to our mandate, I fully agree,” she says. “That’s exactly what we are doing.” #climatechange #COP25 @IMFNews

https://t.co/sCO0Sx5gmq",Favor
"@ARRPierce @JWilhite1 @ScottPresler Boats made from chemicals with manufacturing processes that she claims cause climate change, she and her team have to fly or drive to/ from the boat. She should just walk, barefoot of course, otherwise she would be enabling the Chinese child slavery and harmful manufacturing.",Ambiguous
"BREAKING NEWS: Marine life, fisheries increasingly threatened as the #ocean loses oxygen – @IUCN report.

https://t.co/k0yrP8sBxN 

#COP25 #ClimateAction @UNFCCC @IUCNocean https://t.co/Bv9JfbNOdA",Favor
@finafyr @nsluss29er @BetteMidler Think he's working on that through global warming denial,Ambiguous
"If governments do not act now on the #ClimateCrisis more people – especially the poorest communities across the globe – will go hungry, more people will be forced from their homes and more lives will be lost. #COP25 #ClimateAction https://t.co/fzF0B62YeD",Favor
"@CTVNews This is a first world problem that is caused by the lifestyle of those who have time and money to protest #ClimateChange. 

Most people in the world have #realproblems to deal with!

The homeless people that are freezing to death on the streets in Canada need help now!",Against
"@rVivianArnold @GillesnFio @wlbeeton @jamesb_bkk @Tokyo_Tom @johnmuch14 @Gladfly1 @climatefrauds @craigthomler @NoelTurner194 @AtomsksSanakan @MonkeyMyBack @Scipiodelmundo @SalvajeUnitario @JohnnySumatra @VoluntaryOnly @PeteG1001 @ClimatePoet @1_TMF_ @EthonRaptor @markc01Redux @ubikkgoat @corchem @Mark_Fraser_ @FriendsOScience @Commodity52now @MightyApollo @KevinEdge2 @Over400ppm @4TimesAYear @brandonrgates @usanorthcoast @geoffmprice @drwaheeduddin @MarkOkanagan @DominiqueRabeuf @mr_geologist @miked194765 @montaguethecat @3GHtweets @JuPe_EU @mcwbr @noturbine @rln_nelson ""Why hasn’t FF reduced in price like this?"" ... FYI: Fossil fuel electricity prices in Australia FALLING for 40yrs ... then came SUBSIDISED renewables #climatechange #ClimateBrawl @ScottMorrisonMP @AngusTaylorMP @mattjcan @D_LittleproudMP @JoshFrydenberg @GregHuntMP #auspol https://t.co/TUDNw8RfKU",Ambiguous
"@sarob54 Screwed up FAQ on the Green New Deal played right into climate change deniers’ hands. Absolute amateur hour. Also seeing the generalized nonsense of Green New Deal doesn’t mean I oppose fighting climate change- it’s an essential issue that doesn’t need a careless, posing amateur.",Favor
Well at least other countries standing up since we have a Pres that barely goes outside so global warming not to high on his list https://t.co/pniPrMkyHz,Favor
"We're sharing the story of 12 women -- scientists, farmers, activists, teachers -- taking on climate change around the world at #COP25 UN climate talks in Madrid this #HumanRightsDay. List to their stories yourself! https://t.co/qfUzLSdJee @HumanImpacts https://t.co/QP4Ql2xL3m",Favor
"Cambridge's 'Passive House' Development Takes Aggressive Approach to Affordable Housing, Climate Change https://t.co/MnBGLM8U5W via @earthwhilewbur",Favor
"Damn Zero-Emissions 🥵 

—#PaulMcCartney - #ClimateChange - https://t.co/zFvOeJs18H https://t.co/ljyXu5040F",Favor
"@Lindsay1948 @Infantry0300 @realDonaldTrump I don't hear Barron preaching about how bad ""climate change"" is.",Against
"Plastic bags are non-biodegradable and cause environmental pollution. They undergo a process known as photo degradation, in which they break down into smaller and smaller toxic particles.
Great initiative by #Ufone 
#UfoneTumHiTouHo #SayNoToPlastic #GreenPakistan #ClimateChange",Favor
