evidence_label,evidence,claim
NOT_ENOUGH_INFO,"Further criticism stems from the fact that the phrase intelligent design makes use of an assumption of the quality of an observable intelligence, a concept that has no scientific consensus definition.",A recent essay in Scientific American argued that scientists “tend to underestimate the severity of threats and the rapidity with which they might unfold” and said one of the reasons was “the perceived need for consensus.”
NOT_ENOUGH_INFO,I believe we should have a tax on carbon and deal aggressively with climate change.,There is not a single candidate in the Republican primary that thinks we should do anything about climate change.
NOT_ENOUGH_INFO,"In most cases probes drift at a depth of 1000 metres (the so-called parking depth) and, every 10 days, by changing their buoyancy, dive to a depth of 2000 metres and then move to the sea-surface, measuring conductivity and temperature profiles as well as pressure.",Early estimates of ocean heat from the Argo showed a cooling bias due to pressure sensor issues.
NOT_ENOUGH_INFO,"Under the heading ""Global Warming Standstill"" they ""noted that the 'standstill' temperature is at a much higher level than existed at any year in the prior decade except for the single year 1998, which had the strongest El Nino of the century.",Satellite temperature readings going back to 1979 show 1998 was by far the warmest year in the satellite era
NOT_ENOUGH_INFO,Natural gas is thus a more potent greenhouse gas than carbon dioxide due to the greater global-warming potential of methane.,Water vapor is the most powerful greenhouse gas.
NOT_ENOUGH_INFO,"Because the Earth is much colder than the Sun, it radiates at much longer wavelengths, primarily in the infrared part of the spectrum (see Figure 1).","When CO2 was higher in the past, the sun was cooler."
SUPPORTS,"Other plans include making society carbon neutral and using renewable energy, including solar, wind, and methane sources.","Barack Obama and Joe Biden will establish a 10 percent federal Renewable Portfolio Standard (RPS) to require that 10 percent of electricity consumed in the U.S. is derived from clean, sustainable energy sources, like solar, wind and geothermal by 2012."
SUPPORTS,"EGS and HDR technologies, such as hydrothermal geothermal, are expected to be baseload resources which produce power 24 hours a day like a fossil plant.","Numerous case studies on both regional and global scales have determined that renewable energy, if properly implemented, can provide baseload power."
NOT_ENOUGH_INFO,"But, more accurately, global warming is the mainly human-caused increase in global surface temperatures and its projected continuation, while climate change includes both global warming and its effects, such as changes in precipitation.",There is no statistical evidence that global warming is intensifying[…] floods
SUPPORTS,"Singer argues, contrary to the scientific consensus on climate change, that there is no evidence that global warming is attributable to human-caused increases in atmospheric carbon dioxide, and that humanity would benefit if temperatures do rise.",contrary to the hypothesis that rising temperature is caused by increasing CO2.
NOT_ENOUGH_INFO,Predictive utility of an objective measure of situation awareness.,"""Cloud cover in models is poorly treated and inaccurately predicted."
REFUTES,"The modeling also shows that ""even without a carbon price (the most efficient way to reduce economy-wide emissions) wind energy is 14% cheaper than new coal and 18% cheaper than new gas.""",[Wind energy] is a more expensive way of producing energy than the alternative.
NOT_ENOUGH_INFO,"Referring to President Franklin D. Roosevelt's New Deal approach to the Great Depression, Stein advocated a Green New Deal in her 2012 and 2016 campaigns, in which renewable energy jobs would be created to address climate change and environmental issues; the objective would be to employ ""every American willing and able to work"".",There is not a single candidate in the Republican primary that thinks we should do anything about climate change.
SUPPORTS,"It is a major aspect of climate change, and has been demonstrated by the instrumental temperature record which shows global warming of around 1 °C since the pre-industrial period, although the bulk of this (0.9°C) has occurred since 1970.",The sun has not warmed since 1970 and so cannot be driving global warming.
NOT_ENOUGH_INFO,"The largest human influence has been the emission of greenhouse gases such as carbon dioxide, methane, and nitrous oxide.","Mars, Triton, Pluto and Jupiter all show global warming, pointing to the Sun as the dominating influence in determining climate throughout the solar system."""
