text,label
The project will make a significant contribution to the German and European hydrogen strategy and hence to achievement of the climate targets.,yes
"So in -- first of all, the segments, we are -- we are more selective than we were in the past.",no
Building a smarter and stronger energy grid that better serves customers is at the heart of our Advanced Grid Intelligence and Security initiative.,no
"Generally, first of all our Transmission department is very busy, both gas and electric transmission, I should say, meeting the needs of our on-network customers.",no
"But for the most part, our challenge is showing them how our funds work within the investment themes that they're already seeking.",no
"Our ambition is to be the preferred energy company for all stakeholders, and we have a disciplined three-phase strategy to meet that ambition.",no
"Our Environmentally Preferable Purchasing Guidelines, which we have formulated to enforce “green” purchasing, apply not only to parts and raw materials but also to packaging materials.",yes
"Well, Craig, we certainly are very much active in terms of driving the cost of our silicon carbide technology down over the time period.",no
"Dow completed expansions of its Louisiana ethylene and Seadrift, Texas, gas-phase polyethylene production facilities, delivering further integration strength to complement the Company's market-focused downstream investments. •",no
And so you want to know what's going on in golf?,no
"And they were asked by a very, very large German company to develop the tooling around the concept of this gas injection.",no
"Mark, I'll let Jeff give you some thoughts on that question.",no
"In this way, it offers all occupants a more comfortable and less tiring ride and enables them to respond quickly to environmental changes.",no
"As a global leader in insuring low-carbon technologies, we provide standardized and tailor-made insurance products as part of our Sustainable Solutions (see section 03.4).",yes
"If you start in the year lower-for-longer and you're looking to the forward curve or around the forward curve type numbers, you'd go with, I expect, to have less adjustments during the year.",no
"As we continue to accelerate fiber-to-the-home, we'll start seeing OpEx and CapEx costs coming out of the business.",no
"Bank ventures in the municipal sector also promote more environmentally friendly services, for example by improving the energy efficiency of district heating or water treatment facilities.",yes
"So we think that most customers will choose to take advantage of that saving, and we really see it more as a cost savings going forward than a unique ancillary revenue initiative.",no
Average growth has kept pace with gross domestic product (GDP) at between two to three percent per year.,no
"Between now and 2020, we will continue to protect water, especially where it is scarce, and use this vital resource in harmony with our business ecosystems and local communities.",yes
Lloyd’s Register Quality Assurance Ltd has provided limited assurance for our Net Carbon Footprint assertion for each year from 2016 to 2019.,yes
"When we look at our Howden business in terms of coal production, they -- power production, they are benefiting from environmentally-driven compliance, particularly in China.",no
"The 10 MW lithium-ion ESS captures excess solar energy produced during the day and releases the energy in late afternoon and early evening, when demand is highest.",yes
"As an example, our VOC products, we're starting that unit up and have very strong expectations that, that unit will fill very rapidly, as Chinese consumers are after environmental quality and health impacts that come with low VOC products.",no
10% to 12% is kind of where we've been for the last 3 or 4 years.,no
"In fact, we're planning for them to accelerate, and we're going to be implementing the Energy Bill in several steps beginning in the current quarter.",no
"As we mentioned in the prepared remarks, we're running well ahead of our Structure to Win goals and now expect to be closer to the $55 million that we committed to the run rate, actually, within the calendar year.",no
One of the ways we delivered valued and generated human capital was issuing a new publication sharing winning strategies for building a sustainable staffing ecosystem.,no
"And the cost, again, to go global are a lot less.",no
"ENVIRONMENTAL MANAGEMENT CNH Industrial is committed to continuously improving the environmental performance of its production processes, by adopting both conventional and enhanced technologies and by acting responsibly to mitigate their environmental impact.",yes
"Right now, I think the one that is -- that gives us the most opportunity and the most concern is cyber.",no
"I think the important point is that if we were to maintain the production at Antelope, we would have been looking at putting in a $70 million truck shovel fleet, moving the dragline cost considerably less than that.",no
Hydro has also started working on several initiatives to reduce direct CO2 emission in primary aluminium production.,yes
"We've ordered 25, and we expect to continue to invest both through acquisition, as well as investment in hydrovacs because the oil sands is growing, and we think the capacity to transport is going to be resolved.",no
We're currently just on the ethane side at about -- recurring 20% to hit that ATEX and get our gas and pipeline spec.,no
"The initiatives combine investments with policy dialogue and technical assistance in a highly coordinated manner to increase economic resilience, foster integration and address common global and regional challenges such as climate change.",yes
So we've had a primary focus on helping the OEMs meet their fuel economy/CO2 emissions requirements.,no
"Reduce water consumption by 1% in total (128,000 m3) Reduce chemical pollutant (PRTR) release to less than the average level of FY 2012-2014.",yes
"Based on past LTPS experiences, AUO has invested and constructed the Gen 6 LTPS fab at Kunshan, China, and the fab has begun mass production in 2017.",no
"Interesting side note, okay, as of today, I'm not saying that's -- that, that we can make this comment in a year from now because I don't know, but we have dropped off our carbon steel processing operations either.",no
"So we believe that we are well-positioned going forward to ensure that we have continued supply and, importantly, continued supply at cost competitive levels that support our expanding business model.",no
"In accordance with our sustainability strategy, we have already defined a number of indicators and targets relating to climate change.",yes
"We will do this by setting, disclosing and implementing a strategy with targets; starting with, but not limited to, the energy and power sectors.",no
"Moreover, the NEOS company program also incorporated efficiency objectives, the achievement of which contributes to the increase in the recurring EPS.",no
"I'll answer the first easy part, and Mark can answer the second harder part.",no
"Yes, I won't to comment on exactly where we sell those, other than it was not concentrated only there.",no
"But just to summarize, yes, that business is continuing to grow.",no
"1,945 m 2 of photovoltaic panels, which produce 750 MWh a year;",yes
"Our goal was to get to 10% to 15%, we're there.",no
"Ongoing socio-economic and environmental programs Compensation for those affected, the reconstruction of public infrastructure and the relocation of the impacted communities of Bento Rodrigues, Paracatu and Gesteira are key programs under the Framework Agreement.",no
"I think in the first half of the year in particular, we're going to try to be as close to cash flow neutral with CapEx as we can.",no
"RI, because it's a project-based business and quite lumpy, you'll see certain metrics jump around quarter to quarter.",no
"And as I mentioned my remarks, that could put some temporary pressure on the DNI margin.",no
"The plant operated under a capacity-based PPA contract with the state-owned entity Power Holding Company of Nigeria (“PHCN”), which expired in November 2014.",no
FINANCIAL RISK MANAGEMENT CONTINUED INTEREST RATE RISK The Company is exposed to interest rate risk from the possibility that changes in interest rates will affect future cash flows or the fair values of its financial instruments.,no
"Boy, did that cause some destruction and put some of our good customers down for some time.",no
"Greater use of renewables has the added benefit of reducing our carbon footprint, which is one of Gold Fields’ key environmental priorities.",yes
"As you can see, we continue to make significant progress in deepening and advancing our HBV pipeline, in addition to completing several strategic initiatives to further focus Arbutus' resources and activities squarely on this mission.",no
Trucost announced at the beginning of 2015 that the fund was 62% less carbon-intensive than its MSCI benchmark.,yes
"With the exception of coal combustion residuals (""CCR""), the wastes are not usually physically disposed of on our property, but are shipped off site for final disposal, treatment or recycling.",yes
And so we feel very well positioned there and are focused more in the senior housing with memory care space than we are in independent living.,no
"We continue to see great success out of this product just based on the relaunch of the product, as well as our merchandising and marketing efforts with respect to our FlexFit adjustable base.",no
"Energy storage is set to play a key role, and as costs continue to decline, revenues from “load shifting”, frequency response services and capacity markets is strengthening the economic case for battery storage provision.",no
Reduce water consumption and identify opportunities to install water efficient practices;,yes
The partnership is an example of how we work with our supply chain to reduce emissions.,yes
"We advocate for national climate policies that advance the Paris Agreement on Climate Change to limit global temperature increases to well below 2°C, and ideally no more than 1.5°C above pre-industrial levels.",yes
"Over the past two decades, we have worked to reduce the role coal generation plays in our system, retiring or converting to natural gas approximately 2,500 MW of coal-fueled generation between 2000 and 2018.",yes
"Environmentally and socially responsible supply chains – Sustainability To meet these challenges, Kering has established a dedicated organization.",yes
